"Title","Artist","Album","Duration"
"he went to the store and saw ""Brakence JPOP""","₂","N/A","3:14"
"DRAKE - IN MY FEELINGS (MURDER CLUB MIX)","MURDER CLUB","N/A","1:05"
"another station","tdstr","N/A","3:16"
"tstake & HUBZY - its_u","HUBZY","N/A","2:25"
"witchlet - ✰ CERES & CALYPSO IN THE DEEP CLUB ✰","snare society (ARCHIVE)","N/A","2:07"
"BIG ED","dive to the heart","N/A","2:34"
"none of it matters if we're all gonna fall","xaev","www.unironical.ly","1:55"
"a funk you can't dance out","leroy","LEROY","3:22"
"pm04034 - the joke is literally on me","lanelanelane","N/A","2:06"
"like a penis (w/ ubi, saoirse dream, can of bliss, & st1cks)","dynastic","N/A","3:01"
"Jenna Rose – My Jeans (Milkfish’s “JACK2K16 MY SWAG” edit)","Milkfish","N/A","2:37"
"JOYCE MANOR CONSTANT BOOTY BOUNCE MEDLEY ★★★ @WORLDSTARDJ ★★★","Twerknation28","N/A","1:57"
"juke is wired","temura","N/A","2:16"
"fall","carbine","N/A","4:26"
"Cedric Madden & MISOGI - In The Snow (DJ KELSEY EDIT)","DJ KELSEY","N/A","2:19"
"someone told me that i'm too loud","Versiple","hey","2:54"
"magikruiser","shroom","N/A","1:51"
"dariabért - NCSCORE","PENIS MUSIC COLLECTIVE","N/A","2:04"
"pwnb0y - pwnb0y is a good liar, better than most","GOOP HOUSE","N/A","2:30"
"tstake & HUBZY - down","HUBZY","N/A","1:30"
"IYAZ - REPLAY (MURDER CLUB BOOTLEG)","MURDER CLUB","N/A","1:51"
"❤uno❤","randy","N/A","2:57"
"02 - Andrew Goes To Hell - To Carry On Again In Pieces","𝙬𝙚𝙞𝙧𝙙 𝙣𝙭𝙘®","N/A","1:50"
"GLASS ANIMALS / HEAT WAVES /  [LUCA LUSH REMIX]","LUCA LUSH 2","N/A","3:09"
"Folk Dance Fever239048 JUST ANOTHER MONDAI (AND IF YOU WONDERED IF I HATE YOU I DO)","mondai1112","N/A","1:02"
"look at his face bro","chirith","N/A","2:59"
"pm04034 - dont worry, they love your eyeliner","lanelanelane","N/A","2:16"
"DOUBLE DEEZ NUTS","dive to the heart","N/A","3:13"
"copyright strike my fucking nuts","leroy","LEROY","2:32"
"陽キャ５","キャップは？","N/A","1:50"
"groveling - purity control","petbud","N/A","4:00"
"look at his face bro(ruined)","sora","N/A","2:44"
"ok google what the bird doin","xaev","www.unironical.ly","2:49"
